model,language,type,cefr,tokens,types,mean_sentence_length,verbs,nouns,finite_verb,finite_verb_%,participle,participle_%,adverbial_participle,adverbial_participle_%,half_participle,half_participle_%,active_present_participle,active_present_participle_%,passive_present_participle,passive_present_participle_%,dative,dative_%,instrumental,instrumental_%,pos_adj,pos_adj_%,cmp_adj,cmp_adj_%,pos_adv,pos_adv_%,cmp_adv,cmp_adv_%
google--gemma-3-27b-it,lithuanian,constrained,B1,31423,7828,7.2,6644,8376,132.8,62.8,20.8,9.8,6.3,3.0,1.9,0.9,2.9,1.4,8.1,3.8,8.2,3.1,18.8,7.1,82.3,90.8,4.9,5.4,80.0,87.9,8.7,9.5
google--gemma-3-4b-it,lithuanian,constrained,B1,24261,6108,8.4,5333,5221,139.0,63.2,17.6,8.0,5.7,2.6,2.0,0.9,3.2,1.5,5.3,2.4,4.9,2.3,14.3,6.7,77.4,92.6,3.7,4.4,80.7,89.4,6.0,6.6
google--gemma-3-12b-it,lithuanian,constrained,C1,50764,12926,10.9,10071,16481,102.7,51.8,32.3,16.3,10.8,5.4,3.8,1.9,6.6,3.3,10.5,5.3,11.9,3.7,21.6,6.7,97.2,92.2,6.6,6.2,49.7,88.2,5.2,9.2
google--gemma-3-27b-it,lithuanian,constrained,C1,43240,11157,10.0,8321,13597,98.5,51.2,30.5,15.8,9.3,4.8,3.0,1.6,5.4,2.8,9.9,5.1,12.5,4.0,21.5,6.8,96.8,92.2,6.2,5.9,57.2,89.6,5.5,8.7
google--gemma-3-4b-it,lithuanian,constrained,C1,39700,9661,11.4,8387,10657,113.6,53.7,31.1,14.7,8.7,4.1,3.0,1.4,5.7,2.7,8.5,4.0,8.5,3.2,21.3,7.9,84.0,92.1,5.5,6.0,57.1,87.8,6.0,9.2
google--gemma-3-12b-it,lithuanian,regular,A1,12845,3024,4.6,2979,2965,168.2,72.5,12.5,5.4,2.2,0.9,1.2,0.5,1.6,0.7,6.3,2.7,10.1,4.4,14.9,6.4,72.6,94.9,2.5,3.3,109.3,93.2,5.5,4.7
google--gemma-3-27b-it,lithuanian,regular,A1,20300,4110,5.7,4569,4565,154.1,68.5,14.1,6.3,3.6,1.6,0.7,0.3,1.0,0.4,6.9,3.1,10.5,4.7,15.6,6.9,73.8,92.4,3.2,3.9,103.9,91.0,8.4,7.4
google--gemma-3-4b-it,lithuanian,regular,A1,13510,3342,5.7,2910,2678,146.8,68.1,13.6,6.3,2.4,1.1,0.8,0.4,1.3,0.6,4.9,2.3,4.6,2.3,10.7,5.4,77.5,95.1,2.5,3.1,99.0,94.0,3.8,3.7
google--gemma-3-12b-it,lithuanian,regular,B1,29059,8252,7.4,6370,8168,136.2,62.1,25.1,11.5,7.3,3.3,1.6,0.7,2.8,1.3,10.6,4.8,7.8,2.8,20.4,7.3,82.1,91.7,5.4,6.0,77.0,88.6,7.0,8.0
google--gemma-3-27b-it,lithuanian,regular,B1,33491,8291,7.4,6880,9363,122.6,59.7,26.5,12.9,5.8,2.8,1.7,0.8,2.9,1.4,11.2,5.4,7.8,2.8,21.4,7.7,84.5,91.3,4.9,5.3,73.6,88.2,7.8,9.4
google--gemma-3-4b-it,lithuanian,regular,B1,24166,6014,8.5,5373,5291,138.7,62.4,20.9,9.4,5.3,2.4,2.9,1.3,4.6,2.1,6.3,2.8,6.0,2.7,15.5,7.1,73.0,92.6,4.0,5.0,79.3,89.3,6.0,6.7
google--gemma-3-12b-it,lithuanian,regular,C1,43745,12093,10.0,8772,13481,108.9,54.3,34.6,17.3,9.3,4.6,3.7,1.8,6.5,3.3,12.6,6.3,11.1,3.6,21.1,6.8,93.3,91.3,7.0,6.9,58.8,88.3,6.0,9.0
google--gemma-3-27b-it,lithuanian,regular,C1,40547,11187,9.0,8019,12354,107.9,54.5,31.2,15.8,9.0,4.6,4.1,2.1,6.0,3.1,10.5,5.3,10.3,3.4,21.6,7.1,90.2,92.1,4.9,5.0,60.4,86.7,7.1,10.2
google--gemma-3-4b-it,lithuanian,regular,C1,36534,9184,11.4,7660,9204,121.7,58.1,27.3,13.0,6.4,3.1,2.9,1.4,4.9,2.3,7.4,3.5,7.2,2.9,20.0,8.0,79.2,91.6,5.2,6.0,60.3,87.9,6.1,8.9
reference,lithuanian,reference,A1,17815,4526,4.38,3504,4855,159.0,80.8,5.4,2.8,0.4,0.2,0.1,0.0,0.1,0.1,2.6,1.3,4.5,1.6,10.3,3.8,52.1,88.3,0.7,1.1,107.3,97.5,2.0,1.8
reference,lithuanian,reference,B1,17539,7445,10.4,3384,5855,130.5,67.6,25.8,13.4,3.7,1.9,2.1,1.1,4.2,2.2,7.9,4.1,9.2,2.7,22.7,6.8,60.2,83.9,2.1,2.9,70.1,88.8,5.8,7.3
reference,lithuanian,reference,C1,18687,7344,13.05,3876,5061,124.9,60.2,42.8,20.6,12.8,6.2,2.6,1.3,5.1,2.5,8.2,3.9,10.3,3.8,26.1,9.6,51.5,90.1,4.5,7.9,69.9,91.6,5.2,6.9
