model,metric,term,estimate,std_error,t_value,p_value,p_value_corrected,stars
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.468901282826139,0.016831136792219828,87.27285037010316,1.1528290100009172e-196,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.40170140787057307,0.0238216224934746,16.862890341772907,7.893031956407029e-44,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.706122768621644,0.02381042803628574,29.656030019517207,4.827894066077722e-86,0,***
google--gemma-3-4b-it,doc_length,(Intercept),40.054320987655586,3.454320580984205,11.595426668894556,1.890374770310032e-25,0,***
google--gemma-3-4b-it,doc_length,levelB1,61.18888888888757,4.8851470144123414,12.525495897741838,1.2665617783693182e-28,0,***
google--gemma-3-4b-it,doc_length,levelC1,122.51358024691233,4.8851470144123414,25.078790850197187,3.7504455215319344e-72,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.468901282826139,0.016831136792219828,87.27285037010316,1.1528290100009172e-196,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.40170140787057307,0.0238216224934746,16.862890341772907,7.893031956407029e-44,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.706122768621644,0.02381042803628574,29.656030019517207,4.827894066077722e-86,0,***
google--gemma-3-12b-it,doc_length,(Intercept),40.054320987655586,3.454320580984205,11.595426668894556,1.890374770310032e-25,0,***
google--gemma-3-12b-it,doc_length,levelB1,61.18888888888757,4.8851470144123414,12.525495897741838,1.2665617783693182e-28,0,***
google--gemma-3-12b-it,doc_length,levelC1,122.51358024691233,4.8851470144123414,25.078790850197187,3.7504455215319344e-72,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.468901282826139,0.016831136792219828,87.27285037010316,1.1528290100009172e-196,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.40170140787057307,0.0238216224934746,16.862890341772907,7.893031956407029e-44,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.706122768621644,0.02381042803628574,29.656030019517207,4.827894066077722e-86,0,***
google--gemma-3-27b-it,doc_length,(Intercept),40.054320987655586,3.454320580984205,11.595426668894556,1.890374770310032e-25,0,***
google--gemma-3-27b-it,doc_length,levelB1,61.18888888888757,4.8851470144123414,12.525495897741838,1.2665617783693182e-28,0,***
google--gemma-3-27b-it,doc_length,levelC1,122.51358024691233,4.8851470144123414,25.078790850197187,3.7504455215319344e-72,0,***
