model,metric,term,estimate,std_error,t_value,p_value,p_value_corrected,stars
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.4688838447030654,0.017806866278029843,82.48974422385471,6.282724388578267e-305,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.40156844633674815,0.025198829538927492,15.935995984115047,4.958936719067912e-47,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.7059832553751141,0.02518925038305151,28.027164152932958,8.349982576423542e-107,0,***
google--gemma-3-4b-it,dependency_distance_mean,languageLithuanian,0.16037824416603014,0.025179696644265424,6.369347749968054,4.1176126914391424e-10,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1:languageLithuanian,0.008118156292181794,0.035627622637525835,0.22786129669036936,0.8198416605891389,1,
google--gemma-3-4b-it,dependency_distance_mean,levelC1:languageLithuanian,-0.04422706919252312,0.035616224644918607,-1.2417674706808945,0.21487044548085613,1,
google--gemma-3-4b-it,doc_length,(Intercept),40.05432098765787,3.5636451830403244,11.239705113819866,1.865874427937565e-26,0,***
google--gemma-3-4b-it,doc_length,levelB1,61.188888888885224,5.039755349341038,12.141241915023878,3.990312569300363e-30,0,***
google--gemma-3-4b-it,doc_length,levelC1,122.51358024690933,5.039755349341041,24.309430072419733,1.8973209740198456e-88,0,***
google--gemma-3-4b-it,doc_length,languageLithuanian,34.103703703700035,5.039755349341043,6.766936356972002,3.46875038580989e-11,0,***
google--gemma-3-4b-it,doc_length,levelB1:languageLithuanian,-2.725925925922904,7.127290366080356,-0.38246315021707517,0.7022700306938705,1,
google--gemma-3-4b-it,doc_length,levelC1:languageLithuanian,-16.443209876539346,7.127290366080359,-2.307077308761627,0.021432194257437805,0.7716,
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.4688838447030654,0.017806866278029843,82.48974422385471,6.282724388578267e-305,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.40156844633674815,0.025198829538927492,15.935995984115047,4.958936719067912e-47,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.7059832553751141,0.02518925038305151,28.027164152932958,8.349982576423542e-107,0,***
google--gemma-3-12b-it,dependency_distance_mean,languageLithuanian,0.16037824416603014,0.025179696644265424,6.369347749968054,4.1176126914391424e-10,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1:languageLithuanian,0.008118156292181794,0.035627622637525835,0.22786129669036936,0.8198416605891389,1,
google--gemma-3-12b-it,dependency_distance_mean,levelC1:languageLithuanian,-0.04422706919252312,0.035616224644918607,-1.2417674706808945,0.21487044548085613,1,
google--gemma-3-12b-it,doc_length,(Intercept),40.05432098765787,3.5636451830403244,11.239705113819866,1.865874427937565e-26,0,***
google--gemma-3-12b-it,doc_length,levelB1,61.188888888885224,5.039755349341038,12.141241915023878,3.990312569300363e-30,0,***
google--gemma-3-12b-it,doc_length,levelC1,122.51358024690933,5.039755349341041,24.309430072419733,1.8973209740198456e-88,0,***
google--gemma-3-12b-it,doc_length,languageLithuanian,34.103703703700035,5.039755349341043,6.766936356972002,3.46875038580989e-11,0,***
google--gemma-3-12b-it,doc_length,levelB1:languageLithuanian,-2.725925925922904,7.127290366080356,-0.38246315021707517,0.7022700306938705,1,
google--gemma-3-12b-it,doc_length,levelC1:languageLithuanian,-16.443209876539346,7.127290366080359,-2.307077308761627,0.021432194257437805,0.7716,
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.4688838447030654,0.017806866278029843,82.48974422385471,6.282724388578267e-305,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.40156844633674815,0.025198829538927492,15.935995984115047,4.958936719067912e-47,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.7059832553751141,0.02518925038305151,28.027164152932958,8.349982576423542e-107,0,***
google--gemma-3-27b-it,dependency_distance_mean,languageLithuanian,0.16037824416603014,0.025179696644265424,6.369347749968054,4.1176126914391424e-10,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1:languageLithuanian,0.008118156292181794,0.035627622637525835,0.22786129669036936,0.8198416605891389,1,
google--gemma-3-27b-it,dependency_distance_mean,levelC1:languageLithuanian,-0.04422706919252312,0.035616224644918607,-1.2417674706808945,0.21487044548085613,1,
google--gemma-3-27b-it,doc_length,(Intercept),40.05432098765787,3.5636451830403244,11.239705113819866,1.865874427937565e-26,0,***
google--gemma-3-27b-it,doc_length,levelB1,61.188888888885224,5.039755349341038,12.141241915023878,3.990312569300363e-30,0,***
google--gemma-3-27b-it,doc_length,levelC1,122.51358024690933,5.039755349341041,24.309430072419733,1.8973209740198456e-88,0,***
google--gemma-3-27b-it,doc_length,languageLithuanian,34.103703703700035,5.039755349341043,6.766936356972002,3.46875038580989e-11,0,***
google--gemma-3-27b-it,doc_length,levelB1:languageLithuanian,-2.725925925922904,7.127290366080356,-0.38246315021707517,0.7022700306938705,1,
google--gemma-3-27b-it,doc_length,levelC1:languageLithuanian,-16.443209876539346,7.127290366080359,-2.307077308761627,0.021432194257437805,0.7716,
