model,metric,term,estimate,std_error,t_value,p_value,p_value_corrected,stars
google--gemma-3-4b-it,dependency_distance_mean,(Intercept),1.322405638732167,0.017041218566730184,77.60041534317966,1.130562735988068e-290,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1,0.5854849762480158,0.02411078026944815,24.283120235221503,4.8284839062514005e-88,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1,0.9531560720592053,0.02412853414366526,39.503273028687,5.445491568313888e-160,0,***
google--gemma-3-4b-it,dependency_distance_mean,typeregular,0.14649608293278996,0.02410353789984003,6.077783416755688,2.337000988577801e-9,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelB1:typeregular,-0.1837802564054311,0.03410875684878463,-5.388066683877973,1.073913002647342e-7,0,***
google--gemma-3-4b-it,dependency_distance_mean,levelC1:typeregular,-0.2470298294506881,0.03411325519159574,-7.241461656568829,1.5747095317600556e-12,0,***
google--gemma-3-4b-it,doc_length,(Intercept),27.738271604937115,3.7463218746007576,7.404134650841542,5.17434708683496e-13,0,***
google--gemma-3-4b-it,doc_length,levelB1,82.07283950617423,5.2980992040754815,15.490997118936724,5.681848373038741e-45,0,***
google--gemma-3-4b-it,doc_length,levelC1,168.36790123456757,5.29809920407548,31.778925752287385,3.3258265488814004e-125,0,***
google--gemma-3-4b-it,doc_length,typeregular,12.316049382718187,5.298099204075507,2.3246166046200485,0.020466544612990974,0.7368,
google--gemma-3-4b-it,doc_length,levelB1:typeregular,-20.883950617286715,7.49264374920173,-2.7872605873609966,0.005504848223705528,0.1982,
google--gemma-3-4b-it,doc_length,levelC1:typeregular,-45.85432098765546,7.492643749201729,-6.119912079436689,1.813390333341499e-9,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),1.322405638732167,0.017041218566730184,77.60041534317966,1.130562735988068e-290,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1,0.5854849762480158,0.02411078026944815,24.283120235221503,4.8284839062514005e-88,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1,0.9531560720592053,0.02412853414366526,39.503273028687,5.445491568313888e-160,0,***
google--gemma-3-12b-it,dependency_distance_mean,typeregular,0.14649608293278996,0.02410353789984003,6.077783416755688,2.337000988577801e-9,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelB1:typeregular,-0.1837802564054311,0.03410875684878463,-5.388066683877973,1.073913002647342e-7,0,***
google--gemma-3-12b-it,dependency_distance_mean,levelC1:typeregular,-0.2470298294506881,0.03411325519159574,-7.241461656568829,1.5747095317600556e-12,0,***
google--gemma-3-12b-it,doc_length,(Intercept),27.738271604937115,3.7463218746007576,7.404134650841542,5.17434708683496e-13,0,***
google--gemma-3-12b-it,doc_length,levelB1,82.07283950617423,5.2980992040754815,15.490997118936724,5.681848373038741e-45,0,***
google--gemma-3-12b-it,doc_length,levelC1,168.36790123456757,5.29809920407548,31.778925752287385,3.3258265488814004e-125,0,***
google--gemma-3-12b-it,doc_length,typeregular,12.316049382718187,5.298099204075507,2.3246166046200485,0.020466544612990974,0.7368,
google--gemma-3-12b-it,doc_length,levelB1:typeregular,-20.883950617286715,7.49264374920173,-2.7872605873609966,0.005504848223705528,0.1982,
google--gemma-3-12b-it,doc_length,levelC1:typeregular,-45.85432098765546,7.492643749201729,-6.119912079436689,1.813390333341499e-9,0,***
google--gemma-3-27b-it,dependency_distance_mean,(Intercept),1.322405638732167,0.017041218566730184,77.60041534317966,1.130562735988068e-290,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1,0.5854849762480158,0.02411078026944815,24.283120235221503,4.8284839062514005e-88,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1,0.9531560720592053,0.02412853414366526,39.503273028687,5.445491568313888e-160,0,***
google--gemma-3-27b-it,dependency_distance_mean,typeregular,0.14649608293278996,0.02410353789984003,6.077783416755688,2.337000988577801e-9,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelB1:typeregular,-0.1837802564054311,0.03410875684878463,-5.388066683877973,1.073913002647342e-7,0,***
google--gemma-3-27b-it,dependency_distance_mean,levelC1:typeregular,-0.2470298294506881,0.03411325519159574,-7.241461656568829,1.5747095317600556e-12,0,***
google--gemma-3-27b-it,doc_length,(Intercept),27.738271604937115,3.7463218746007576,7.404134650841542,5.17434708683496e-13,0,***
google--gemma-3-27b-it,doc_length,levelB1,82.07283950617423,5.2980992040754815,15.490997118936724,5.681848373038741e-45,0,***
google--gemma-3-27b-it,doc_length,levelC1,168.36790123456757,5.29809920407548,31.778925752287385,3.3258265488814004e-125,0,***
google--gemma-3-27b-it,doc_length,typeregular,12.316049382718187,5.298099204075507,2.3246166046200485,0.020466544612990974,0.7368,
google--gemma-3-27b-it,doc_length,levelB1:typeregular,-20.883950617286715,7.49264374920173,-2.7872605873609966,0.005504848223705528,0.1982,
google--gemma-3-27b-it,doc_length,levelC1:typeregular,-45.85432098765546,7.492643749201729,-6.119912079436689,1.813390333341499e-9,0,***
